IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
060243676,NON-CRIMINAL,TRAFFIC ACCIDENT,Saturday,03/04/2006,17:13,CENTRAL,"ARREST, BOOKED",POWELL ST / SUTTER ST,-122.408597386677,37.789224205873,"(37.789224205873, -122.408597386677)"
031435894,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,12/09/2003,21:56,CENTRAL,"ARREST, BOOKED",1400 Block of SACRAMENTO ST,-122.41693893613,37.7919493361815,"(37.7919493361815, -122.41693893613)"
060942680,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,09/04/2006,08:44,NORTHERN,"ARREST, BOOKED",600 Block of OAK ST,-122.430006398939,37.7740207326063,"(37.7740207326063, -122.430006398939)"
091170115,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,11/12/2009,08:00,TARAVAL,NONE,1500 Block of 20TH AV,-122.477939732577,37.7588311214687,"(37.7588311214687, -122.477939732577)"
070664329,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,07/02/2007,02:00,SOUTHERN,NONE,11TH ST / FOLSOM ST,-122.41402726269,37.7718636177154,"(37.7718636177154, -122.41402726269)"
051042645,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,09/16/2005,12:00,BAYVIEW,"ARREST, BOOKED",900 Block of MARIPOSA ST,-122.393446448966,37.7639837100324,"(37.7639837100324, -122.393446448966)"
090953516,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,09/15/2009,22:11,NORTHERN,"ARREST, BOOKED",VANNESS AV / PACIFIC AV,-122.423227151585,37.7948173520031,"(37.7948173520031, -122.423227151585)"
030177851,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,02/12/2003,09:21,INGLESIDE,"ARREST, CITED",SAN JOSE AV / GENEVA AV,-122.446607214924,37.7207231269114,"(37.7207231269114, -122.446607214924)"
030201165,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,02/19/2003,06:00,INGLESIDE,NONE,1500 Block of GUERRERO ST,-122.42248018581,37.7467657463679,"(37.7467657463679, -122.42248018581)"
090564022,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,06/01/2009,12:40,INGLESIDE,"ARREST, CITED",800 Block of ATHENS ST,-122.433330060334,37.7150528975168,"(37.7150528975168, -122.433330060334)"
051265251,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,11/09/2005,02:19,BAYVIEW,NONE,UNDERWOOD AV / JENNINGS ST,-122.388112672367,37.7276689924223,"(37.7276689924223, -122.388112672367)"
070238178,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,03/07/2007,09:08,RICHMOND,NONE,SCOTT ST / SACRAMENTO ST,-122.438963311203,37.7892067223867,"(37.7892067223867, -122.438963311203)"
140433870,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,05/02/2014,11:25,TENDERLOIN,NONE,GEARY ST / POWELL ST,-122.408231026261,37.787359494956,"(37.787359494956, -122.408231026261)"
140534729,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,07/01/2014,10:00,INGLESIDE,"ARREST, BOOKED",MISSION ST / CORTLAND AV,-122.422842376051,37.7410287442117,"(37.7410287442117, -122.422842376051)"
130061497,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,09/16/2012,00:01,INGLESIDE,NONE,200 Block of RANDALL ST,-122.428285104331,37.7399316960308,"(37.7399316960308, -122.428285104331)"
130888138,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,10/20/2013,02:08,MISSION,"ARREST, BOOKED",SOUTH VAN NESS AV / 14TH ST,-122.417803355796,37.7684043083075,"(37.7684043083075, -122.417803355796)"
080894522,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,08/24/2008,19:56,NORTHERN,NONE,GOUGH ST / EDDY ST,-122.424109315499,37.7824756422772,"(37.7824756422772, -122.424109315499)"
050831805,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,07/25/2005,23:33,PARK,NONE,0 Block of ROOSEVELT WY,-122.437532112635,37.7666893226088,"(37.7666893226088, -122.437532112635)"
140395509,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,05/11/2014,16:20,SOUTHERN,NONE,7TH ST / HARRISON ST,-122.406300138733,37.7755131129937,"(37.7755131129937, -122.406300138733)"
070719899,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,07/17/2007,11:47,TARAVAL,NONE,IRVING ST / 24TH AV,-122.482480961268,37.7633237012278,"(37.7633237012278, -122.482480961268)"
050982862,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,08/31/2005,19:56,TARAVAL,"ARREST, BOOKED",19TH AV / VICENTE ST,-122.475406814411,37.7393241543821,"(37.7393241543821, -122.475406814411)"
050369743,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,04/04/2005,12:00,SOUTHERN,NONE,NEWMONTGOMERY ST / HOWARD ST,-122.398980868877,37.7862095570131,"(37.7862095570131, -122.398980868877)"
090788733,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,08/03/2009,20:37,CENTRAL,"ARREST, BOOKED",800 Block of KEARNY ST,-122.40498359935,37.7957863362398,"(37.7957863362398, -122.40498359935)"
050963555,NON-CRIMINAL,TRAFFIC ACCIDENT,Saturday,08/27/2005,10:35,NORTHERN,NONE,GOLDEN GATE AV / WEBSTER ST,-122.43023456528,37.7797824261454,"(37.7797824261454, -122.43023456528)"
050478526,NON-CRIMINAL,TRAFFIC ACCIDENT,Saturday,04/30/2005,00:09,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)"
110236212,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,03/22/2011,13:45,SOUTHERN,NONE,1000 Block of HARRISON ST,-122.405866839069,37.7757757174114,"(37.7757757174114, -122.405866839069)"
140968043,NON-CRIMINAL,TRAFFIC ACCIDENT,Saturday,11/15/2014,12:14,TENDERLOIN,NONE,TURK ST / JONES ST,-122.412414263581,37.7830037964534,"(37.7830037964534, -122.412414263581)"
100771795,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,08/22/2010,12:57,TARAVAL,"ARREST, CITED",1100 Block of LAKE MERCED BL,-122.485186968095,37.7129669171438,"(37.7129669171438, -122.485186968095)"
060171942,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,02/14/2006,11:17,INGLESIDE,"ARREST, BOOKED",3100 Block of MISSION ST,-122.418609719102,37.7474453071495,"(37.7474453071495, -122.418609719102)"
080814558,NON-CRIMINAL,TRAFFIC ACCIDENT,Saturday,08/02/2008,22:25,PARK,"ARREST, CITED",DUBOCE AV / CASTRO ST,-122.435797048864,37.7690578711759,"(37.7690578711759, -122.435797048864)"
100659135,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,07/18/2010,18:41,RICHMOND,"ARREST, BOOKED",DIVISADERO ST / JACKSON ST,-122.441155369375,37.7916291489736,"(37.7916291489736, -122.441155369375)"
060167844,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,02/13/2006,12:05,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)"
030089137,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,01/22/2003,19:00,TARAVAL,"ARREST, BOOKED",1300 Block of 46TH AV,-122.505923256341,37.761339931633,"(37.761339931633, -122.505923256341)"
040904105,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,08/09/2004,03:29,NORTHERN,NONE,1500 Block of VAN NESS AV,-122.422062730287,37.789920002385,"(37.789920002385, -122.422062730287)"
060304444,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,03/20/2006,22:47,TARAVAL,"ARREST, BOOKED",SKYLINEBLVD HY / JOHNMUIR DR,-122.50022040363,37.718954166945,"(37.718954166945, -122.50022040363)"
110303639,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,04/14/2011,11:32,INGLESIDE,NONE,ALEMANY BL / PUTNAM ST,-122.410829623756,37.7347331717697,"(37.7347331717697, -122.410829623756)"
060534641,NON-CRIMINAL,TRAFFIC ACCIDENT,Saturday,05/20/2006,04:35,SOUTHERN,NONE,2ND ST / HARRISON ST,-122.395163154488,37.7843096998676,"(37.7843096998676, -122.395163154488)"
